TIME,CPU%,MEM%,GPU%,GPUMEM%,CXLMEM%,PCI_TX_MBps,PCI_RX_MBps,PRODUCT,PCI_INFO,GPUMEM_USED_MB,GPUMEM_TOTAL_MB
2023-06-12 22:54:23,50.7,8.3,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,617.4375,15360.0
2023-06-12 22:54:24,50.4,8.8,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,619.4375,15360.0
2023-06-12 22:54:25,50.3,9.2,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,623.4375,15360.0
2023-06-12 22:54:26,50.7,9.7,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,627.4375,15360.0
2023-06-12 22:54:27,50.6,10.1,1,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,631.4375,15360.0
2023-06-12 22:54:28,50.9,10.6,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,633.4375,15360.0
2023-06-12 22:54:29,50.6,11.0,1,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,637.4375,15360.0
2023-06-12 22:54:29,50.6,11.5,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,641.4375,15360.0
2023-06-12 22:54:30,50.8,12.0,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,643.4375,15360.0
2023-06-12 22:54:31,50.6,12.4,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,647.4375,15360.0
2023-06-12 22:54:32,50.7,12.9,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,651.4375,15360.0
2023-06-12 22:54:33,50.4,13.3,1,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,655.4375,15360.0
2023-06-12 22:54:34,50.4,13.8,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,657.4375,15360.0
2023-06-12 22:54:35,50.9,14.2,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,661.4375,15360.0
2023-06-12 22:54:36,50.5,14.7,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,665.4375,15360.0
2023-06-12 22:54:37,50.8,15.2,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,667.4375,15360.0
2023-06-12 22:54:37,50.7,15.6,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,671.4375,15360.0
2023-06-12 22:54:38,50.5,16.1,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,675.4375,15360.0
2023-06-12 22:54:39,50.9,16.5,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,677.4375,15360.0
2023-06-12 22:54:40,50.4,17.0,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,681.4375,15360.0
2023-06-12 22:54:41,50.5,17.5,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,685.4375,15360.0
2023-06-12 22:54:42,51.0,17.9,1,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,687.4375,15360.0
2023-06-12 22:54:43,50.6,18.4,0,0,0.0016309294428763926,0.0,0.0,Tesla T4,3Gen-16xlanes,691.4375,15360.0
2023-06-12 22:54:44,50.1,18.7,79,34,0.0016309294428763926,1.953125,7.8125,Tesla T4,3Gen-16xlanes,2487.4375,15360.0
2023-06-12 22:54:45,2.2,18.9,100,77,0.0016309294428763926,2.9296875,2626.953125,Tesla T4,3Gen-16xlanes,3433.4375,15360.0
2023-06-12 22:54:45,2.0,18.9,100,85,0.0016309294428763926,3.90625,12.6953125,Tesla T4,3Gen-16xlanes,3433.4375,15360.0
2023-06-12 22:54:46,2.3,18.9,100,79,0.0016309294428763926,990.234375,14039.0625,Tesla T4,3Gen-16xlanes,3433.4375,15360.0
2023-06-12 22:54:47,2.0,18.9,100,75,0.0016309294428763926,3.90625,14.6484375,Tesla T4,3Gen-16xlanes,3433.4375,15360.0
2023-06-12 22:54:48,2.3,18.9,100,78,0.0016309294428763926,2037.109375,9125.0,Tesla T4,3Gen-16xlanes,3433.4375,15360.0
